State,PCT_LACCESS_POP15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,LACCESS_CHILD15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,GROCPTH16,SUPERCPTH16,SNAPSPTH17,WICSPTH16,FFRPTH16,FSRPTH16,PCT_SNAP17,PCT_REDUCED_LUNCH15,PCT_OBESE_ADULTS17,RECFACPTH16,FOODINSEC_12_14,FOODINSEC_15_17,CH_FOODINSEC_14_17,VLFOODSEC_12_14,VLFOODSEC_15_17,CH_VLFOODSEC_14_17
Maryland,51245.73460157329,3120.5295603744034,3348.135983097841,11836.31295382979,136621.54813319945,72249.87811164351,20639.732105742954,13974.44769791481,598.0352290669288,104.95778234401084,0.19065352962499998,0.01498469375,0.70872100375,0.14711130775,0.789844893375,0.7592965662083333,11.30637648,12869.4773577115,78311.1915,0.09969541058333334,12.5,10.4,-2.1,4.8,4.3,-0.5
Massachusetts,126740.16170830316,7174.341738873476,8431.619434754573,28451.729786585714,370027.8889273928,29633.347594050712,47077.96906986083,26193.713967158972,798.4070932546393,109.33992294608785,0.265486355,0.006767241428571429,0.6794916712142857,0.15159825028571428,0.835076351,1.4745345416428572,11.16816032,0,126281.407,0.18063021871428572,16.2,14.4,-1.8,7.5,6.4,-1.1
Michigan,0,2517.1765908625807,0,0,92025.67442685623,16524.72837260677,5317.758585797874,2916.875453407391,656.1120593074041,26.431479182810964,0.24748086107228917,0.023448551843373494,1.0032121930120481,0,0.6011166992771084,0.9132315955421687,13.80637652,0,38728.43939759036,0.05720688907228916,14.7,13.6,-1.1,6.3,6,-0.3
Minnesota,15693.754969551177,1170.4766111995943,1090.0898205187502,3753.9161429011497,52589.97501985825,3286.929198152929,3015.9849748167026,2598.9496228319563,656.4076926361944,22.304809983518506,0.26038272962068965,0.016853234666666668,0.7392356232528736,0.28971026985057474,0.5133989856666666,0.83125189837931035,8.133326674,4789.980199972995,18030.438574712643,0.08089173977011495,10.4,9.5,-0.9,4.2,3.7,-0.5
Mississippi,0,1429.134990372558,0,0,21358.487488112438,13192.608851371306,1017.1916001454592,323.4579613406761,168.39952380541294,11.961642038069757,0.17852756692682928,0.019221491463414633,1.148973132682927,0,0.5918320137073171,0.460343882402439,18.00776895,0,13593.11163414634,0.054818335841463416,16.8,12.8,-4,7.9,4.8,-3.1
Missouri,11751.741404263395,1160.3998886123134,1322.2576056306984,2859.42429741493,42912.47673328573,6015.168031531089,1888.021290149108,863.6029328580248,212.62868710644304,51.41388426380991,0.23012688741739132,0.023375545052173912,0.9029003779043479,0,0.4698887377826087,0.6997999563478261,12.41374326,3192.483920389176,17202.965,0.0685856528,22,17.2,-4.8,7.3,6.6,-0.7
Montana,4322.21550876204,299.8488640422098,412.6208537187832,980.9067459585715,16332.356894182169,69.92409846314894,537.861422055848,116.81822071873982,1109.9342760778043,11.474372653194465,0.45691952573214284,0.005824859142857143,0,0,0.48281781273214286,1.2779123504107144,11.5077873,0,4702.4703392857145,0.07575058653571429,11.5,11.4,-0.1,5.4,4.6,-0.8
Nebraska,3792.9754934966622,222.76087635311805,283.974937495017,931.5045114700107,16787.24159395722,934.8768359488354,1879.95296411926,368.0600674084011,163.6608486761526,10.93460331633,0.4714086059784946,0.014393737268817205,0,0,0.4320078892150538,0.9556315207956989,9.158422203,0,6721.968516129032,0.06704723877419355,16.7,14.4,-2.3,6.4,5.6,-0.8
Nevada,25854.72634317653,1683.5913651764006,2540.9217802152702,5818.127837174118,92508.30363249469,13383.646203208857,45792.90984252865,12264.77254671427,1460.26948754917,989.790721581784,0.2723687832352941,0.016029317647058824,0,0,0.5245342758823529,0.7191737598823529,14.69673454,0,45857.59552941177,0.08766877188235295,8.4,9,0.6,2.9,3.5,0.6
New Hampshire,35112.3399314582,3008.61789043951,2330.272302873425,7739.95271567,123862.85203513145,1394.546087093642,3757.06163373184,2891.468966856755,273.724787124092,33.681813622229,0.2124380243,0.019587590000000002,0.8018036518,0.1570211425,0.7433379975,1.1043636017,6.885383346,5810.784292556753,37720.681300000004,0.1502341977,13.9,13.5,-0.4,5.5,5.4,-0.1
New Jersey,95072.941292571,6114.524232855986,4628.279225825244,22231.344646404763,249825.1935030063,54097.964401508405,75301.70372607071,34874.99906021285,585.7816521092361,94.29111949099905,0.26881546542857143,0.009053198095238095,0.6158643806666667,0.1123569989047619,0.7721784512857143,0.9290745441904762,9.082962307,21012.578485765047,115368.70800000001,0.15259451571428573,10,9.4,-0.6,4.7,3.4,-1.3
New Mexico,19988.987305706607,1375.9789913989612,3098.854627658518,5219.895390062425,25694.865286042885,1103.9992527275306,29352.289553338494,815.6823166016148,5376.248021248054,38.58688804581333,0.22758348784848484,0.02067935093939394,1.1230488167878787,0,0.5905220881515152,0.7314698500303031,22.05547866,0,18010.66896969697,0.06159896533333333,11.7,8.6,-3.1,4.9,3,-1.9
